Weapon ID,Weapon Name,Raw Materials Required
magic_staff,Amethyst Magic Staff,"6x crystal, 16x wood"
wand,Amethyst Wand,"3x crystal, 4x wood"
bow,Apprentice's Bow,"132x fiber, 20x wood"
sickle,Apprentice's Sickle,"125x ore, 34x wood"
warhammer,Apprentice's Warhammer,"375x ore, 102x wood"
crossbow,Arbalest Crossbow,"1x fiber, 125x ore, 42x wood"
sword,Ascendant Sword,"250x ore, 64x wood"
club,Ash Club,5x wood
quiver_of_arrows,Ash Quiver of Arrows,"2x feather, 5x ore, 1x skin, 16x wood"
set_of_bolts,Ash Set of Bolts,"10x ore, 12x wood"
sharpened_stick,Ash Sharpened Stick,"1x harvest, 2x meat, 2x stone, 7x wood"
magic_staff,Astral Magic Staff,"6x crystal, 16x wood"
wand,Astral Wand,"3x crystal, 4x wood"
sword,Baron's Sword,"250x ore, 64x wood"
wand,Beginner's Wand,"3x crystal, 4x wood"
greatsword,Bent Greatsword,"375x ore, 102x wood"
spear,Bloodrite Spear,"125x ore, 38x wood"
battle_axe,Blunt Battle Axe,"375x ore, 94x wood"
spear,Blunt Spear,"125x ore, 38x wood"
club,Cedar Club,5x wood
quiver_of_arrows,Cedar Quiver of Arrows,"2x feather, 5x ore, 1x skin, 16x wood"
set_of_bolts,Cedar Set of Bolts,"10x ore, 12x wood"
sharpened_stick,Cedar Sharpened Stick,"1x harvest, 2x meat, 2x stone, 7x wood"
dagger,Chancellor's Dagger,"125x ore, 30x wood"
set_of_bolts,Crude Set of Bolts,"10x ore, 12x wood"
sharpened_stick,Crude Sharpened Stick,"1x harvest, 2x meat, 2x stone, 7x wood"
mace,Crusader's Mace,"250x ore, 64x wood"
greatsword,Dawnbringer Greatsword,"375x ore, 102x wood"
crossbow,Deadeye Crossbow,"1x fiber, 125x ore, 42x wood"
greatsword,Direblade Greatsword,"375x ore, 102x wood"
greatsword,Doomcleaver Greatsword,"375x ore, 102x wood"
crossbow,Doomsight Crossbow,"1x fiber, 125x ore, 42x wood"
battle_axe,Dragonbane Battle Axe,"375x ore, 94x wood"
battle_axe,Drakebane Battle Axe,"375x ore, 94x wood"
battle_axe,Drakebiter Battle Axe,"375x ore, 94x wood"
dagger,Duchess's Dagger,"125x ore, 30x wood"
sword,Duke's Sword,"250x ore, 64x wood"
warhammer,Earthshaker Warhammer,"375x ore, 102x wood"
club,Ebony Club,5x wood
quiver_of_arrows,Ebony Quiver of Arrows,"2x feather, 5x ore, 1x skin, 16x wood"
set_of_bolts,Ebony Set of Bolts,"10x ore, 12x wood"
sharpened_stick,Ebony Sharpened Stick,"1x harvest, 2x meat, 2x stone, 7x wood"
sickle,Eldermoon Sickle,"125x ore, 34x wood"
bow,Elven Bow,"132x fiber, 20x wood"
crossbow,Executioner's Crossbow,"1x fiber, 125x ore, 42x wood"
spear,Godsblood Spear,"125x ore, 38x wood"
greatsword,Godslayer Greatsword,"375x ore, 102x wood"
sickle,Harvestmoon Sickle,"125x ore, 34x wood"
sword,Highlord's Sword,"250x ore, 64x wood"
mace,Judgment Mace,"250x ore, 64x wood"
sword,Knight's Sword,"250x ore, 64x wood"
mace,Loose Mace,"250x ore, 64x wood"
magic_staff,Loose Magic Staff,"6x crystal, 16x wood"
sickle,Lunarfang Sickle,"125x ore, 34x wood"
magic_staff,Mana Magic Staff,"6x crystal, 16x wood"
wand,Mana Wand,"3x crystal, 4x wood"
bow,Marksman's Bow,"132x fiber, 20x wood"
dagger,Marquess's Dagger,"125x ore, 30x wood"
club,Oak Club,5x wood
quiver_of_arrows,Oak Quiver of Arrows,"2x feather, 5x ore, 1x skin, 16x wood"
set_of_bolts,Oak Set of Bolts,"10x ore, 12x wood"
sharpened_stick,Oak Sharpened Stick,"1x harvest, 2x meat, 2x stone, 7x wood"
club,Pine Club,5x wood
bow,Ranger's Bow,"132x fiber, 20x wood"
magic_staff,Ruby Magic Staff,"6x crystal, 16x wood"
wand,Ruby Wand,"3x crystal, 4x wood"
dagger,Rusty Dagger,"125x ore, 30x wood"
sword,Rusty Sword,"250x ore, 64x wood"
magic_staff,Sapphire Magic Staff,"6x crystal, 16x wood"
wand,Sapphire Wand,"3x crystal, 4x wood"
battle_axe,Scaleshredder Battle Axe,"375x ore, 94x wood"
bow,Sharpshooter's Bow,"132x fiber, 20x wood"
crossbow,Siegebreaker Crossbow,"1x fiber, 125x ore, 42x wood"
warhammer,Skullsplitter Warhammer,"375x ore, 102x wood"
spear,Skyfather's Spear,"125x ore, 38x wood"
greatsword,Soulrender Greatsword,"375x ore, 102x wood"
dagger,Sovereign's Dagger,"125x ore, 30x wood"
warhammer,Stormbreaker Warhammer,"375x ore, 102x wood"
mace,Templar's Mace,"250x ore, 64x wood"
sickle,Thornweave Sickle,"125x ore, 34x wood"
warhammer,Thunderstrike Warhammer,"375x ore, 102x wood"
quiver_of_arrows,Tight Quiver of Arrows,"2x feather, 5x ore, 1x skin, 16x wood"
spear,Totemcaller Spear,"125x ore, 38x wood"
crossbow,Uneven Crossbow,"1x fiber, 125x ore, 42x wood"
mace,Vanguard's Mace,"250x ore, 64x wood"
dagger,Viscount's Dagger,"125x ore, 30x wood"
sickle,Wildroot Sickle,"125x ore, 34x wood"
bow,Windsong Bow,"132x fiber, 20x wood"
spear,Wolfspirit Spear,"125x ore, 38x wood"
warhammer,Worldender Warhammer,"375x ore, 102x wood"
club,Worldroot Club,5x wood
